County,Party,Votes by Party (2012),Percentage by Party (2012),Votes by County (2012),Percentage of NC Votes (2012),Votes by Party (2016),Percentage by Party (2016),Votes by County (2016),Percentage of NC Votes (2016)
MECKLENBURG,DEM,272262,0.6079312269733169,447850,0.0996705985198855,294562,0.6326938277544848,465568,0.09943629670020096
MECKLENBURG,LIB,3920,0.008752930668750698,447850,0.0996705985198855,15488,0.03326689119527115,465568,0.09943629670020096
MECKLENBURG,REP,171668,0.38331584235793237,447850,0.0996705985198855,155518,0.334039281050244,465568,0.09943629670020096
MITCHELL,DEM,1838,0.23771339886187273,7732,0.0017207838958485087,1596,0.19910179640718562,8016,0.0017120621570829843
MITCHELL,LIB,88,0.011381272633212623,7732,0.0017207838958485087,138,0.01721556886227545,8016,0.0017120621570829843
MITCHELL,REP,5806,0.7509053285049146,7732,0.0017207838958485087,6282,0.7836826347305389,8016,0.0017120621570829843
MONTGOMERY,DEM,4706,0.41980374665477255,11210,0.0024948250740379958,4150,0.3614038143342332,11483,0.0024525461264700487
MONTGOMERY,LIB,100,0.008920606601248885,11210,0.0024948250740379958,203,0.0176783070626143,11483,0.0024525461264700487
MONTGOMERY,REP,6404,0.5712756467439786,11210,0.0024948250740379958,7130,0.6209178786031525,11483,0.0024525461264700487
MOORE,DEM,16505,0.35615640239955115,46342,0.01031357569857884,16329,0.3389587744426454,48174,0.010289032229954552
MOORE,LIB,342,0.007379914548357861,46342,0.01031357569857884,1355,0.028127205546560386,48174,0.010289032229954552
MOORE,REP,29495,0.636463683052091,46342,0.01031357569857884,30490,0.6329140200107942,48174,0.010289032229954552
NASH,DEM,24313,0.5022413187630399,48409,0.010773593845593695,23235,0.49118467782851344,47304,0.010103217100630425
NASH,LIB,254,0.0052469582102501605,48409,0.010773593845593695,750,0.015854895991882292,47304,0.010103217100630425
NASH,REP,23842,0.4925117230267099,48409,0.010773593845593695,23319,0.4929604261796043,47304,0.010103217100630425
NEW HANOVER,DEM,48668,0.47107789995353877,103312,0.022992450316593523,50979,0.4623023070226349,110272,0.0235519608515288
NEW HANOVER,LIB,1259,0.012186386866966083,103312,0.022992450316593523,3949,0.035811448055716774,110272,0.0235519608515288
NEW HANOVER,REP,53385,0.5167357131794951,103312,0.022992450316593523,55344,0.5018862449216482,110272,0.0235519608515288
